Date,Time,Para_name,Value,Dimension
01/29/2020,09:20:26,GEN_V_L1-N,0,V
01/29/2020,09:20:26,GEN_V_L2-N,0,V
01/29/2020,09:20:26,GEN_V_L3-N,0,V
01/29/2020,09:20:27,GEN_V_L1-L2,0,V
01/29/2020,09:20:27,GEN_V_L2-L3,0,V
01/29/2020,09:20:28,GEN_V_L3-L1,0,V
01/29/2020,09:20:28,GEN_I_L1,0,A
01/29/2020,09:20:28,GEN_I_L2,0,A
01/29/2020,09:20:29,GEN_I_L3,0,A
01/29/2020,09:20:29,GEN_RPM,0,RPM
01/29/2020,09:20:29,GEN_FREQ,0.0,Hz
01/29/2020,09:20:30,GEN_kW,0,kW
01/29/2020,09:20:30,GEN_kW_L1,0,kW
01/29/2020,09:20:31,GEN_kW_L2,0,kW
01/29/2020,09:20:31,GEN_kW_L3,0,kW
01/29/2020,09:20:31,GEN_NOM_kVA,800,kVA
01/29/2020,09:20:32,GEN_kVAr,0,kVAr
01/29/2020,09:20:32,GEN_KVAr_L1,0,kVAr
01/29/2020,09:20:32,GEN_kVAr_L2,0,kVAr
01/29/2020,09:20:33,GEN_kVAr_L3,0,kVAr
01/29/2020,09:20:33,GEN_PF,0.0,UNIT
01/29/2020,09:20:34,GEN_PF_L1,0.0,UNIT
01/29/2020,09:20:34,GEN_PF_L2,0.0,UNIT
01/29/2020,09:20:34,GEN_PF_L3,0.0,UNIT
01/29/2020,09:20:35,GEN_kVA,0,kVA
01/29/2020,09:20:35,GEN_kVA_L1,0,kVA
01/29/2020,09:20:35,GEN_kVA_L2,0,kVA
01/29/2020,09:20:36,GEN_kVA_L3,0,kVA
01/29/2020,09:20:36,GEN_E_FAULT,655.35,A
01/29/2020,09:20:36,BAT_VOLT,21.4,V
01/29/2020,09:20:37,CHR_VOLT,21.3,V
01/29/2020,09:20:37,OIL_PRESS,3276.8,BAR
01/29/2020,09:20:38,ENG_TEMP,32768,DEG CELCIUS
01/29/2020,09:20:38,FUEL_LEVEL,32768,%
01/29/2020,09:20:38,PYGEN_READ,0,BIN
01/29/2020,10:07:14,PYGEN_READ,1,BIN
01/29/2020,10:07:14,GEN_V_L1-N,0,V
01/29/2020,10:07:14,GEN_V_L2-N,0,V
01/29/2020,10:07:14,GEN_V_L3-N,0,V
01/29/2020,10:07:15,GEN_V_L1-L2,0,V
01/29/2020,10:07:15,GEN_V_L2-L3,0,V
01/29/2020,10:07:15,GEN_V_L3-L1,0,V
01/29/2020,10:07:16,GEN_I_L1,0,A
01/29/2020,10:07:16,GEN_I_L2,0,A
01/29/2020,10:07:16,GEN_I_L3,0,A
01/29/2020,10:07:16,GEN_RPM,0,RPM
01/29/2020,10:07:17,GEN_FREQ,0.0,Hz
01/29/2020,10:07:17,GEN_kW,0,kW
01/29/2020,10:07:17,GEN_kW_L1,0,kW
01/29/2020,10:07:17,GEN_kW_L2,0,kW
01/29/2020,10:07:18,GEN_kW_L3,0,kW
01/29/2020,10:07:18,GEN_NOM_kVA,800,kVA
01/29/2020,10:07:18,GEN_kVAr,0,kVAr
01/29/2020,10:07:18,GEN_KVAr_L1,0,kVAr
01/29/2020,10:07:19,GEN_kVAr_L2,0,kVAr
01/29/2020,10:07:19,GEN_kVAr_L3,0,kVAr
01/29/2020,10:07:19,GEN_PF,0.0,UNIT
01/29/2020,10:07:19,GEN_PF_L1,0.0,UNIT
01/29/2020,10:07:20,GEN_PF_L2,0.0,UNIT
01/29/2020,10:07:20,GEN_PF_L3,0.0,UNIT
01/29/2020,10:07:20,GEN_kVA,0,kVA
01/29/2020,10:07:21,GEN_kVA_L1,0,kVA
01/29/2020,10:07:21,GEN_kVA_L2,0,kVA
01/29/2020,10:07:21,GEN_kVA_L3,0,kVA
01/29/2020,10:07:21,GEN_E_FAULT,655.35,A
01/29/2020,10:07:22,BAT_VOLT,21.4,V
01/29/2020,10:07:22,CHR_VOLT,21.3,V
01/29/2020,10:07:22,OIL_PRESS,3276.8,BAR
01/29/2020,10:07:22,ENG_TEMP,32768,DEG CELCIUS
01/29/2020,10:07:23,FUEL_LEVEL,32768,%
01/29/2020,10:07:23,PYGEN_READ,0,BIN
01/29/2020,10:08:25,PYGEN_READ,1,BIN
01/29/2020,10:08:25,GEN_V_L1-N,0,V
01/29/2020,10:08:26,GEN_V_L2-N,0,V
01/29/2020,10:08:26,GEN_V_L3-N,0,V
01/29/2020,10:08:26,GEN_V_L1-L2,0,V
01/29/2020,10:08:26,GEN_V_L2-L3,0,V
01/29/2020,10:08:27,GEN_V_L3-L1,0,V
01/29/2020,10:08:27,GEN_I_L1,0,A
01/29/2020,10:08:27,GEN_I_L2,0,A
01/29/2020,10:08:27,GEN_I_L3,0,A
01/29/2020,10:08:28,GEN_RPM,0,RPM
01/29/2020,10:08:28,GEN_FREQ,0.0,Hz
01/29/2020,10:08:28,GEN_kW,0,kW
01/29/2020,10:08:29,GEN_kW_L1,0,kW
01/29/2020,10:08:29,GEN_kW_L2,0,kW
01/29/2020,10:08:29,GEN_kW_L3,0,kW
01/29/2020,10:08:29,GEN_NOM_kVA,800,kVA
01/29/2020,10:08:30,GEN_kVAr,0,kVAr
01/29/2020,10:08:30,GEN_KVAr_L1,0,kVAr
01/29/2020,10:08:30,GEN_kVAr_L2,0,kVAr
01/29/2020,10:08:30,GEN_kVAr_L3,0,kVAr
01/29/2020,10:08:31,GEN_PF,0.0,UNIT
01/29/2020,10:08:31,GEN_PF_L1,0.0,UNIT
01/29/2020,10:08:31,GEN_PF_L2,0.0,UNIT
01/29/2020,10:08:32,GEN_PF_L3,0.0,UNIT
01/29/2020,10:08:32,GEN_kVA,0,kVA
01/29/2020,10:08:32,GEN_kVA_L1,0,kVA
01/29/2020,10:08:32,GEN_kVA_L2,0,kVA
01/29/2020,10:08:33,GEN_kVA_L3,0,kVA
01/29/2020,10:08:33,GEN_E_FAULT,655.35,A
01/29/2020,10:08:33,BAT_VOLT,21.4,V
01/29/2020,10:08:33,CHR_VOLT,21.3,V
01/29/2020,10:08:34,OIL_PRESS,3276.8,BAR
01/29/2020,10:08:34,ENG_TEMP,32768,DEG CELCIUS
01/29/2020,10:08:34,FUEL_LEVEL,32768,%
01/29/2020,10:08:34,PYGEN_READ,0,BIN
01/29/2020,10:12:59,PYGEN_READ,1,BIN
01/29/2020,10:12:59,GEN_V_L1-N,0,V
01/29/2020,10:12:59,GEN_V_L2-N,0,V
01/29/2020,10:12:59,GEN_V_L3-N,0,V
01/29/2020,10:13:00,GEN_V_L1-L2,0,V
01/29/2020,10:13:00,GEN_V_L2-L3,0,V
01/29/2020,10:13:00,GEN_V_L3-L1,0,V
01/29/2020,10:13:00,GEN_I_L1,0,A
01/29/2020,10:13:01,GEN_I_L2,0,A
01/29/2020,10:13:01,GEN_I_L3,0,A
01/29/2020,10:13:01,GEN_RPM,0,RPM
01/29/2020,10:13:01,GEN_FREQ,0.0,Hz
01/29/2020,10:13:02,GEN_kW,0,kW
01/29/2020,10:13:02,GEN_kW_L1,0,kW
01/29/2020,10:13:02,GEN_kW_L2,0,kW
01/29/2020,10:13:02,GEN_kW_L3,0,kW
01/29/2020,10:13:03,GEN_NOM_kVA,800,kVA
01/29/2020,10:13:03,GEN_kVAr,0,kVAr
01/29/2020,10:13:03,GEN_KVAr_L1,0,kVAr
01/29/2020,10:13:03,GEN_kVAr_L2,0,kVAr
01/29/2020,10:13:04,GEN_kVAr_L3,0,kVAr
01/29/2020,10:13:04,GEN_PF,0.0,UNIT
01/29/2020,10:13:04,GEN_PF_L1,0.0,UNIT
01/29/2020,10:13:05,GEN_PF_L2,0.0,UNIT
01/29/2020,10:13:05,GEN_PF_L3,0.0,UNIT
01/29/2020,10:13:05,GEN_kVA,0,kVA
01/29/2020,10:13:05,GEN_kVA_L1,0,kVA
01/29/2020,10:13:06,GEN_kVA_L2,0,kVA
01/29/2020,10:13:06,GEN_kVA_L3,0,kVA
01/29/2020,10:13:06,GEN_E_FAULT,655.35,A
01/29/2020,10:13:06,BAT_VOLT,21.4,V
01/29/2020,10:13:07,CHR_VOLT,21.3,V
01/29/2020,10:13:07,OIL_PRESS,3276.8,BAR
01/29/2020,10:13:07,ENG_TEMP,32768,DEG CELCIUS
01/29/2020,10:13:07,FUEL_LEVEL,32768,%
01/29/2020,10:13:08,PYGEN_READ,0,BIN
01/29/2020,10:34:20,PYGEN_READ,1,BIN
01/29/2020,10:34:20,GEN_V_L1-N,0,V
01/29/2020,10:34:20,GEN_V_L2-N,0,V
01/29/2020,10:34:21,GEN_V_L3-N,0,V
01/29/2020,10:34:21,GEN_V_L1-L2,0,V
01/29/2020,10:34:21,GEN_V_L2-L3,0,V
01/29/2020,10:34:21,GEN_V_L3-L1,0,V
01/29/2020,10:34:22,GEN_I_L1,0,A
01/29/2020,10:34:22,GEN_I_L2,0,A
01/29/2020,10:34:22,GEN_I_L3,0,A
01/29/2020,10:34:22,GEN_RPM,0,RPM
01/29/2020,10:34:23,GEN_FREQ,0.0,Hz
01/29/2020,10:34:23,GEN_kW,0,kW
01/29/2020,10:34:23,GEN_kW_L1,0,kW
01/29/2020,10:34:23,GEN_kW_L2,0,kW
01/29/2020,10:34:24,GEN_kW_L3,0,kW
01/29/2020,10:34:24,GEN_NOM_kVA,800,kVA
01/29/2020,10:34:24,GEN_kVAr,0,kVAr
01/29/2020,10:34:24,GEN_KVAr_L1,0,kVAr
01/29/2020,10:34:25,GEN_kVAr_L2,0,kVAr
01/29/2020,10:34:25,GEN_kVAr_L3,0,kVAr
01/29/2020,10:34:25,GEN_PF,0.0,UNIT
01/29/2020,10:34:26,GEN_PF_L1,0.0,UNIT
01/29/2020,10:34:26,GEN_PF_L2,0.0,UNIT
01/29/2020,10:34:26,GEN_PF_L3,0.0,UNIT
01/29/2020,10:34:26,GEN_kVA,0,kVA
01/29/2020,10:34:27,GEN_kVA_L1,0,kVA
01/29/2020,10:34:27,GEN_kVA_L2,0,kVA
01/29/2020,10:34:27,GEN_kVA_L3,0,kVA
01/29/2020,10:34:27,GEN_E_FAULT,655.35,A
01/29/2020,10:34:28,BAT_VOLT,21.4,V
01/29/2020,10:34:28,CHR_VOLT,21.3,V
01/29/2020,10:34:28,OIL_PRESS,3276.8,BAR
01/29/2020,10:34:28,ENG_TEMP,32768,DEG CELCIUS
01/29/2020,10:34:29,FUEL_LEVEL,32768,%
01/29/2020,10:34:29,PYGEN_READ,0,BIN
01/29/2020,10:36:30,PYGEN_READ,1,BIN
01/29/2020,10:36:30,GEN_V_L1-N,0,V
01/29/2020,10:36:30,GEN_V_L2-N,0,V
01/29/2020,10:36:31,GEN_V_L3-N,0,V
01/29/2020,10:36:31,GEN_V_L1-L2,0,V
01/29/2020,10:36:31,GEN_V_L2-L3,0,V
01/29/2020,10:36:31,GEN_V_L3-L1,0,V
01/29/2020,10:36:32,GEN_I_L1,0,A
01/29/2020,10:36:32,GEN_I_L2,0,A
01/29/2020,10:36:32,GEN_I_L3,0,A
01/29/2020,10:36:33,GEN_RPM,0,RPM
01/29/2020,10:36:33,GEN_FREQ,0.0,Hz
01/29/2020,10:36:33,GEN_kW,0,kW
01/29/2020,10:36:33,GEN_kW_L1,0,kW
01/29/2020,10:36:34,GEN_kW_L2,0,kW
01/29/2020,10:36:34,GEN_kW_L3,0,kW
01/29/2020,10:36:34,GEN_NOM_kVA,800,kVA
01/29/2020,10:36:34,GEN_kVAr,0,kVAr
01/29/2020,10:36:35,GEN_KVAr_L1,0,kVAr
01/29/2020,10:36:35,GEN_kVAr_L2,0,kVAr
01/29/2020,10:36:35,GEN_kVAr_L3,0,kVAr
01/29/2020,10:36:36,GEN_PF,0.0,UNIT
01/29/2020,10:36:36,GEN_PF_L1,0.0,UNIT
01/29/2020,10:36:36,GEN_PF_L2,0.0,UNIT
01/29/2020,10:36:36,GEN_PF_L3,0.0,UNIT
01/29/2020,10:36:37,GEN_kVA,0,kVA
01/29/2020,10:36:37,GEN_kVA_L1,0,kVA
01/29/2020,10:36:37,GEN_kVA_L2,0,kVA
01/29/2020,10:36:37,GEN_kVA_L3,0,kVA
01/29/2020,10:36:38,GEN_E_FAULT,655.35,A
01/29/2020,10:36:38,BAT_VOLT,21.4,V
01/29/2020,10:36:38,CHR_VOLT,21.3,V
01/29/2020,10:36:38,OIL_PRESS,3276.8,BAR
01/29/2020,10:36:39,ENG_TEMP,32768,DEG CELCIUS
01/29/2020,10:36:39,FUEL_LEVEL,32768,%
01/29/2020,10:36:39,PYGEN_READ,0,BIN
01/29/2020,11:00:17,PYGEN_READ,1,BIN
01/29/2020,11:00:17,GEN_V_L1-N,0,V
01/29/2020,11:00:17,GEN_V_L2-N,0,V
01/29/2020,11:00:18,GEN_V_L3-N,0,V
01/29/2020,11:00:18,GEN_V_L1-L2,0,V
01/29/2020,11:00:18,GEN_V_L2-L3,0,V
01/29/2020,11:00:18,GEN_V_L3-L1,0,V
01/29/2020,11:00:19,GEN_I_L1,0,A
01/29/2020,11:00:19,GEN_I_L2,0,A
01/29/2020,11:00:19,GEN_I_L3,0,A
01/29/2020,11:00:19,GEN_RPM,0,RPM
01/29/2020,11:00:20,GEN_FREQ,0.0,Hz
01/29/2020,11:00:20,GEN_kW,0,kW
01/29/2020,11:00:20,GEN_kW_L1,0,kW
01/29/2020,11:00:21,GEN_kW_L2,0,kW
01/29/2020,11:00:21,GEN_kW_L3,0,kW
01/29/2020,11:00:21,GEN_NOM_kVA,800,kVA
01/29/2020,11:00:21,GEN_kVAr,0,kVAr
01/29/2020,11:00:22,GEN_KVAr_L1,0,kVAr
01/29/2020,11:00:22,GEN_kVAr_L2,0,kVAr
01/29/2020,11:00:22,GEN_kVAr_L3,0,kVAr
01/29/2020,11:00:22,GEN_PF,0.0,UNIT
01/29/2020,11:00:23,GEN_PF_L1,0.0,UNIT
01/29/2020,11:00:23,GEN_PF_L2,0.0,UNIT
01/29/2020,11:00:23,GEN_PF_L3,0.0,UNIT
01/29/2020,11:00:24,GEN_kVA,0,kVA
01/29/2020,11:00:24,GEN_kVA_L1,0,kVA
01/29/2020,11:00:24,GEN_kVA_L2,0,kVA
01/29/2020,11:00:24,GEN_kVA_L3,0,kVA
01/29/2020,11:00:25,GEN_E_FAULT,655.35,A
01/29/2020,11:00:25,BAT_VOLT,21.4,V
01/29/2020,11:00:25,CHR_VOLT,21.3,V
01/29/2020,11:00:25,OIL_PRESS,3276.8,BAR
01/29/2020,11:00:26,ENG_TEMP,32768,DEG CELCIUS
01/29/2020,11:00:26,FUEL_LEVEL,32768,%
01/29/2020,11:00:26,PYGEN_READ,0,BIN
01/29/2020,11:02:14,PYGEN_READ,1,BIN
01/29/2020,11:02:14,GEN_V_L1-N,0,V
01/29/2020,11:02:15,GEN_V_L2-N,0,V
01/29/2020,11:02:15,GEN_V_L3-N,0,V
01/29/2020,11:02:15,GEN_V_L1-L2,0,V
01/29/2020,11:02:16,GEN_V_L2-L3,0,V
01/29/2020,11:02:16,GEN_V_L3-L1,0,V
01/29/2020,11:02:16,GEN_I_L1,0,A
01/29/2020,11:02:16,GEN_I_L2,0,A
01/29/2020,11:02:17,GEN_I_L3,0,A
01/29/2020,11:02:17,GEN_RPM,0,RPM
01/29/2020,11:02:17,GEN_FREQ,0.0,Hz
01/29/2020,11:02:17,GEN_kW,0,kW
01/29/2020,11:02:18,GEN_kW_L1,0,kW
01/29/2020,11:02:18,GEN_kW_L2,0,kW
01/29/2020,11:02:18,GEN_kW_L3,0,kW
01/29/2020,11:02:19,GEN_NOM_kVA,800,kVA
01/29/2020,11:02:19,GEN_kVAr,0,kVAr
01/29/2020,11:02:19,GEN_KVAr_L1,0,kVAr
01/29/2020,11:02:19,GEN_kVAr_L2,0,kVAr
01/29/2020,11:02:20,GEN_kVAr_L3,0,kVAr
01/29/2020,11:02:20,GEN_PF,0.0,UNIT
01/29/2020,11:02:20,GEN_PF_L1,0.0,UNIT
01/29/2020,11:02:20,GEN_PF_L2,0.0,UNIT
01/29/2020,11:02:21,GEN_PF_L3,0.0,UNIT
01/29/2020,11:02:21,GEN_kVA,0,kVA
01/29/2020,11:02:21,GEN_kVA_L1,0,kVA
01/29/2020,11:02:21,GEN_kVA_L2,0,kVA
01/29/2020,11:02:22,GEN_kVA_L3,0,kVA
01/29/2020,11:02:22,GEN_E_FAULT,655.35,A
01/29/2020,11:02:22,BAT_VOLT,21.4,V
01/29/2020,11:02:23,CHR_VOLT,21.3,V
01/29/2020,11:02:23,OIL_PRESS,3276.8,BAR
01/29/2020,11:02:23,ENG_TEMP,32768,DEG CELCIUS
01/29/2020,11:02:23,FUEL_LEVEL,32768,%
01/29/2020,11:02:23,PYGEN_READ,0,BIN
01/29/2020,11:09:09,PYGEN_READ,1,BIN
01/29/2020,11:09:09,Date,Time,Para_name,Value,Dimension
01/29/2020,11:09:09,GEN_V_L1-N,0,V
01/29/2020,11:09:09,GEN_V_L2-N,0,V
01/29/2020,11:09:10,GEN_V_L3-N,0,V
01/29/2020,11:09:10,GEN_V_L1-L2,0,V
01/29/2020,11:09:10,GEN_V_L2-L3,0,V
01/29/2020,11:09:10,GEN_V_L3-L1,0,V
01/29/2020,11:09:11,GEN_I_L1,0,A
01/29/2020,11:09:11,GEN_I_L2,0,A
01/29/2020,11:09:11,GEN_I_L3,0,A
01/29/2020,11:09:11,GEN_RPM,0,RPM
01/29/2020,11:09:12,GEN_FREQ,0.0,Hz
01/29/2020,11:09:12,GEN_kW,0,kW
01/29/2020,11:09:12,GEN_kW_L1,0,kW
01/29/2020,11:09:13,GEN_kW_L2,0,kW
01/29/2020,11:09:13,GEN_kW_L3,0,kW
01/29/2020,11:09:13,GEN_NOM_kVA,800,kVA
01/29/2020,11:09:13,GEN_kVAr,0,kVAr
01/29/2020,11:09:14,GEN_KVAr_L1,0,kVAr
01/29/2020,11:09:14,GEN_kVAr_L2,0,kVAr
01/29/2020,11:09:14,GEN_kVAr_L3,0,kVAr
01/29/2020,11:09:14,GEN_PF,0.0,UNIT
01/29/2020,11:09:15,GEN_PF_L1,0.0,UNIT
01/29/2020,11:09:15,GEN_PF_L2,0.0,UNIT
01/29/2020,11:09:15,GEN_PF_L3,0.0,UNIT
01/29/2020,11:09:15,GEN_kVA,0,kVA
01/29/2020,11:09:16,GEN_kVA_L1,0,kVA
01/29/2020,11:09:16,GEN_kVA_L2,0,kVA
01/29/2020,11:09:16,GEN_kVA_L3,0,kVA
01/29/2020,11:09:16,GEN_E_FAULT,655.35,A
01/29/2020,11:09:17,BAT_VOLT,21.4,V
01/29/2020,11:09:17,CHR_VOLT,21.3,V
01/29/2020,11:09:17,OIL_PRESS,3276.8,BAR
01/29/2020,11:09:18,ENG_TEMP,32768,DEG CELCIUS
01/29/2020,11:09:18,FUEL_LEVEL,32768,%
01/29/2020,11:09:18,PYGEN_READ,0,BIN
01/29/2020,11:09:44,PYGEN_READ,1,BIN
01/29/2020,11:09:44,Date,Time,Para_name,Value,Dimension
01/29/2020,11:09:44,GEN_V_L1-N,0,V
01/29/2020,11:09:44,GEN_V_L2-N,0,V
01/29/2020,11:09:45,GEN_V_L3-N,0,V
01/29/2020,11:09:45,GEN_V_L1-L2,0,V
01/29/2020,11:09:45,GEN_V_L2-L3,0,V
01/29/2020,11:09:45,GEN_V_L3-L1,0,V
01/29/2020,11:09:46,GEN_I_L1,0,A
01/29/2020,11:09:46,GEN_I_L2,0,A
01/29/2020,11:09:46,GEN_I_L3,0,A
01/29/2020,11:09:46,GEN_RPM,0,RPM
01/29/2020,11:09:47,GEN_FREQ,0.0,Hz
01/29/2020,11:09:47,GEN_kW,0,kW
01/29/2020,11:09:47,GEN_kW_L1,0,kW
01/29/2020,11:09:47,GEN_kW_L2,0,kW
01/29/2020,11:09:48,GEN_kW_L3,0,kW
01/29/2020,11:09:48,GEN_NOM_kVA,800,kVA
01/29/2020,11:09:48,GEN_kVAr,0,kVAr
01/29/2020,11:09:49,GEN_KVAr_L1,0,kVAr
01/29/2020,11:09:49,GEN_kVAr_L2,0,kVAr
01/29/2020,11:09:49,GEN_kVAr_L3,0,kVAr
01/29/2020,11:09:49,GEN_PF,0.0,UNIT
01/29/2020,11:09:50,GEN_PF_L1,0.0,UNIT
01/29/2020,11:09:50,GEN_PF_L2,0.0,UNIT
01/29/2020,11:09:50,GEN_PF_L3,0.0,UNIT
01/29/2020,11:09:50,GEN_kVA,0,kVA
01/29/2020,11:09:51,GEN_kVA_L1,0,kVA
01/29/2020,11:09:51,GEN_kVA_L2,0,kVA
01/29/2020,11:09:51,GEN_kVA_L3,0,kVA
01/29/2020,11:09:51,GEN_E_FAULT,655.35,A
01/29/2020,11:09:52,BAT_VOLT,21.4,V
01/29/2020,11:09:52,CHR_VOLT,21.3,V
01/29/2020,11:09:52,OIL_PRESS,3276.8,BAR
01/29/2020,11:09:53,ENG_TEMP,32768,DEG CELCIUS
01/29/2020,11:09:53,FUEL_LEVEL,32768,%
01/29/2020,11:09:53,PYGEN_READ,0,BIN
01/29/2020,11:23:20,PYGEN_READ,1,BIN
01/29/2020,11:23:20,Date,Time,Para_name,Value,Dimension
01/29/2020,11:23:20,GEN_V_L1-N,0,V
01/29/2020,11:23:20,GEN_V_L2-N,0,V
01/29/2020,11:23:21,GEN_V_L3-N,0,V
01/29/2020,11:23:21,GEN_V_L1-L2,0,V
01/29/2020,11:23:21,GEN_V_L2-L3,0,V
01/29/2020,11:23:21,GEN_V_L3-L1,0,V
01/29/2020,11:23:22,GEN_I_L1,0,A
01/29/2020,11:23:22,GEN_I_L2,0,A
01/29/2020,11:23:22,GEN_I_L3,0,A
01/29/2020,11:23:22,GEN_RPM,0,RPM
01/29/2020,11:23:23,GEN_FREQ,0.0,Hz
01/29/2020,11:23:23,GEN_kW,0,kW
01/29/2020,11:23:23,GEN_kW_L1,0,kW
01/29/2020,11:23:23,GEN_kW_L2,0,kW
01/29/2020,11:23:24,GEN_kW_L3,0,kW
01/29/2020,11:23:24,GEN_NOM_kVA,800,kVA
01/29/2020,11:23:24,GEN_kVAr,0,kVAr
01/29/2020,11:23:25,GEN_KVAr_L1,0,kVAr
01/29/2020,11:23:25,GEN_kVAr_L2,0,kVAr
01/29/2020,11:23:25,GEN_kVAr_L3,0,kVAr
01/29/2020,11:23:25,GEN_PF,0.0,UNIT
01/29/2020,11:23:26,GEN_PF_L1,0.0,UNIT
01/29/2020,11:23:26,GEN_PF_L2,0.0,UNIT
01/29/2020,11:23:26,GEN_PF_L3,0.0,UNIT
01/29/2020,11:23:26,GEN_kVA,0,kVA
01/29/2020,11:23:27,GEN_kVA_L1,0,kVA
01/29/2020,11:23:27,GEN_kVA_L2,0,kVA
01/29/2020,11:23:27,GEN_kVA_L3,0,kVA
01/29/2020,11:23:27,GEN_E_FAULT,655.35,A
01/29/2020,11:23:28,BAT_VOLT,21.4,V
01/29/2020,11:23:28,CHR_VOLT,21.3,V
01/29/2020,11:23:28,OIL_PRESS,3276.8,BAR
01/29/2020,11:23:28,ENG_TEMP,32768,DEG CELCIUS
01/29/2020,11:23:29,FUEL_LEVEL,32768,%
01/29/2020,11:23:29,PYGEN_READ,0,BIN
01/29/2020,11:27:03,PYGEN_READ,1,BIN
01/29/2020,11:27:03,Date,Time,Para_name,Value,Dimension
01/29/2020,11:27:03,GEN_V_L1-N,0,V
01/29/2020,11:27:03,GEN_V_L2-N,0,V
01/29/2020,11:27:04,GEN_V_L3-N,0,V
01/29/2020,11:27:04,GEN_V_L1-L2,0,V
01/29/2020,11:27:04,GEN_V_L2-L3,0,V
